minute_bin,direction,motor_speed,voltage_std,sample_count,angle_mean,material,grouped_speed
1,Increasing,1.0,0.0014159067654125816,12000,32.813589743589745,acrylic,1
2,Increasing,6.0,0.0007909024257050832,11968,33.12104761904762,acrylic,6
3,Increasing,11.0,0.0013003713077278586,11930,36.11058333333333,acrylic,11
4,Increasing,16.0,0.0025117918009710956,11912,38.82565217391304,acrylic,16
5,Increasing,21.0,0.003997476699659541,11882,41.21515625,acrylic,21
6,Increasing,26.0,0.005761633165194724,11846,43.247116564417176,acrylic,26
7,Decreasing,26.0,0.007777446324431531,11810,43.27198757763975,acrylic,26
8,Decreasing,21.0,0.009681042094935689,11780,41.324090909090906,acrylic,21
9,Decreasing,16.0,0.011182630834431457,11754,38.99875968992248,acrylic,16
10,Decreasing,11.0,0.012419677371862815,11732,36.724259259259256,acrylic,11
11,Decreasing,6.0,0.012804584012034255,11700,33.45232323232324,acrylic,6
12,Decreasing,1.0,0.012195055365511546,11654,32.90897435897436,acrylic,1
1,Increasing,1.0,0.0008015998261176031,12000,32.54394736842105,acrylic,1
2,Increasing,6.0,0.0005709282760605656,11968,34.086470588235294,acrylic,6
3,Increasing,11.0,0.0007988716889373012,11932,36.34894736842105,acrylic,11
4,Increasing,16.0,0.0017942202126722704,11906,38.90886363636364,acrylic,16
5,Increasing,21.0,0.0031019194893721434,11884,41.18945945945946,acrylic,21
6,Increasing,26.0,0.004666231910147534,11860,43.30472049689441,acrylic,26
7,Decreasing,26.0,0.006456446349458803,11832,43.68578947368421,acrylic,26
8,Decreasing,21.0,0.008157489145569127,11806,41.77366197183098,acrylic,21
9,Decreasing,16.0,0.009500639901360389,11772,39.408671875,acrylic,16
10,Decreasing,11.0,0.01048740105975872,11736,36.588849557522124,acrylic,11
11,Decreasing,6.0,0.011158886597483058,11708,33.53212765957447,acrylic,6
12,Decreasing,1.0,0.010716401168605593,11672,30.764285714285716,acrylic,1
1,Increasing,1.0,0.0013149911076049338,12002,31.71690476190476,acrylic,1
2,Increasing,6.0,0.0005056622805982442,11978,33.72030303030303,acrylic,6
3,Increasing,11.0,0.0005669245226511624,11940,36.774032258064516,acrylic,11
4,Increasing,16.0,0.001496749603521379,11920,38.92454545454545,acrylic,16
5,Increasing,21.0,0.002737951107194786,11888,41.198928571428574,acrylic,21
6,Increasing,26.0,0.004202415594909588,11862,43.37828571428572,acrylic,26
7,Decreasing,26.0,0.005907579388946943,11828,43.303450704225355,acrylic,26
8,Decreasing,21.0,0.007629101983696427,11796,41.40282608695652,acrylic,21
9,Decreasing,16.0,0.008978387046574532,11760,39.27367521367522,acrylic,16
10,Decreasing,11.0,0.009998727887224267,11726,36.57942857142857,acrylic,11
11,Decreasing,6.0,0.010551189645138067,11690,33.36229885057471,acrylic,6
12,Decreasing,1.0,0.010394963513192051,11654,33.38660377358491,acrylic,1
1,Increasing,1.0,0.007987847180278004,12000,25.151666666666667,teflon,1
2,Increasing,6.0,0.012567552920874742,11964,26.576082474226805,teflon,6
3,Increasing,11.0,0.020204081701247892,11934,28.800467289719627,teflon,11
4,Increasing,16.0,0.03282275068661103,11900,33.52653225806451,teflon,16
5,Increasing,21.0,0.05162805014898082,11862,41.70287581699346,teflon,21
6,Increasing,26.0,0.056977410615083074,11824,44.8836312849162,teflon,26
7,Decreasing,26.0,0.0502893566843241,11792,44.518742857142854,teflon,26
8,Decreasing,21.0,0.04979662482314677,11758,42.06530864197531,teflon,21
9,Decreasing,16.0,0.05000016425340493,11734,39.891478873239436,teflon,16
10,Decreasing,11.0,0.050385087236400394,11702,37.17036231884058,teflon,11
11,Decreasing,6.0,0.049937975999347725,11684,33.529831932773114,teflon,6
12,Decreasing,1.0,0.04879727161715913,11644,26.273366336633664,teflon,1
1,Increasing,1.0,0.006569606251002012,12002,25.63642857142857,teflon,1
2,Increasing,6.0,0.010889172247111657,11968,26.213368421052632,teflon,6
3,Increasing,11.0,0.017871749797780417,11946,28.195855855855854,teflon,11
4,Increasing,16.0,0.027401487714304937,11920,31.279212598425197,teflon,16
5,Increasing,21.0,0.04462587783515224,11902,38.68924137931034,teflon,21
6,Increasing,26.0,0.05907707804626926,11872,46.195988372093026,teflon,26
7,Decreasing,26.0,0.054694934033588695,11832,45.84194117647059,teflon,26
8,Decreasing,21.0,0.051762281783946124,11794,43.13965753424658,teflon,21
9,Decreasing,16.0,0.05014172264391912,11776,40.614598540145984,teflon,16
10,Decreasing,11.0,0.049168873971508195,11752,37.93666666666666,teflon,11
11,Decreasing,6.0,0.04900215472822799,11720,34.148640776699025,teflon,6
12,Decreasing,1.0,0.049002528726657606,11696,27.69954022988506,teflon,1
1,Increasing,1.0,0.010873629001204962,12000,25.169523809523806,teflon,1
2,Increasing,6.0,0.01310074294722006,11978,25.992599999999996,teflon,6
3,Increasing,11.0,0.02046589715635201,11942,28.950000000000003,teflon,11
4,Increasing,16.0,0.03322674257106505,11904,33.69495652173913,teflon,16
5,Increasing,21.0,0.05243596415709652,11892,42.79604026845637,teflon,21
6,Increasing,26.0,0.056851486191181105,11866,47.0760843373494,teflon,26
7,Decreasing,26.0,0.05199106261421395,11830,46.363696969696974,teflon,26
8,Decreasing,21.0,0.05127967747818522,11796,43.54139072847682,teflon,21
9,Decreasing,16.0,0.049810587969299304,11760,41.24,teflon,16
10,Decreasing,11.0,0.049423003493057824,11752,38.51569343065693,teflon,11
11,Decreasing,6.0,0.04947585662553379,11730,34.83181034482759,teflon,6
12,Decreasing,1.0,0.050615190916771136,11702,27.66635294117647,teflon,1
