minute_bin,direction,voltage_std,motor_speed,sample_count,angle_mean,collapse_count,material,density,tribo_rank,resistivity,grouped_speed
1,Increasing,0.0045565993320997615,1.0,12000,30.228285714285715,35,acetal,1.41,-143.33,15,1
2,Increasing,0.006337145363639542,5.985835694050992,12002,30.056145833333332,96,acetal,1.41,-143.33,15,6
3,Increasing,0.01129708728031889,10.977496249374896,11998,32.27356435643564,101,acetal,1.41,-143.33,15,11
4,Increasing,0.016982955178285852,15.962506248958507,12002,33.69236363636364,110,acetal,1.41,-143.33,15,16
5,Increasing,0.02116425414378868,20.954159026504417,11998,35.72721739130435,115,acetal,1.41,-143.33,15,21
6,Decreasing,0.023154154984445632,26.0,11840,37.488984375,128,acetal,1.41,-143.33,15,26
7,Decreasing,0.02410022071664439,26.0,12000,37.832093023255815,129,acetal,1.41,-143.33,15,26
8,Decreasing,0.025246340848998662,21.089985002499585,12002,36.15759689922481,129,acetal,1.41,-143.33,15,21
9,Decreasing,0.02707123503767163,16.098349724954158,11998,34.96716814159292,113,acetal,1.41,-143.33,15,16
10,Decreasing,0.030037495317571366,11.115,12000,33.03022222222222,90,acetal,1.41,-143.33,15,11
11,Decreasing,0.03305147484961639,6.129166666666666,12000,30.834675324675324,77,acetal,1.41,-143.33,15,6
12,Decreasing,0.03373325743854,1.1424762539576738,12002,30.180333333333333,30,acetal,1.41,-143.33,15,1
1,Increasing,0.0034663851491759006,1.0,12000,29.938888888888886,36,acetal,1.41,-143.33,15,1
2,Increasing,0.006669976361186734,5.985835694050992,12002,31.55181818181818,88,acetal,1.41,-143.33,15,6
3,Increasing,0.013612342983309687,10.974995832638774,11998,33.8073786407767,103,acetal,1.41,-143.33,15,11
4,Increasing,0.020653023293518685,15.960839860023329,12002,35.35854545454546,110,acetal,1.41,-143.33,15,16
5,Increasing,0.025967886431098083,20.949991665277548,11998,37.695470085470085,117,acetal,1.41,-143.33,15,21
6,Decreasing,0.028193952776425123,26.0,11846,39.552125984251965,127,acetal,1.41,-143.33,15,26
7,Decreasing,0.02902335562124543,26.0,11998,39.42704545454546,132,acetal,1.41,-143.33,15,26
8,Decreasing,0.029999695248683383,21.099983336110647,12002,38.355210084033615,119,acetal,1.41,-143.33,15,21
9,Decreasing,0.03277463903728785,16.1066844474079,11998,36.66909090909091,110,acetal,1.41,-143.33,15,16
10,Decreasing,0.036597547740082434,11.126666666666667,12000,35.00108695652174,92,acetal,1.41,-143.33,15,11
11,Decreasing,0.039682292931325636,6.140833333333333,12000,32.755384615384614,65,acetal,1.41,-143.33,15,6
12,Decreasing,0.04149432469079511,1.157473754374271,12002,30.008333333333333,36,acetal,1.41,-143.33,15,1
1,Increasing,0.004802465182802255,1.0,12000,33.54375,40,acetal,1.41,-143.33,15,1
2,Increasing,0.010894660129489718,5.986666666666666,12000,32.92458333333333,96,acetal,1.41,-143.33,15,6
3,Increasing,0.021986642015675052,10.971671388101983,12002,35.500707964601766,113,acetal,1.41,-143.33,15,11
4,Increasing,0.030800036750706854,15.955825970995166,11998,37.9249074074074,108,acetal,1.41,-143.33,15,16
5,Increasing,0.03821040557714634,20.943342776203966,12002,39.508372093023254,129,acetal,1.41,-143.33,15,21
6,Decreasing,0.0422964149497553,26.0,11844,41.622262773722625,137,acetal,1.41,-143.33,15,26
7,Decreasing,0.044853666879462864,26.0,12004,42.05533783783783,148,acetal,1.41,-143.33,15,26
8,Decreasing,0.047623077310441464,21.09,12000,40.68193103448276,145,acetal,1.41,-143.33,15,21
9,Decreasing,0.050739506992905074,16.10251708618103,11998,39.31896,125,acetal,1.41,-143.33,15,16
10,Decreasing,0.05407368260502489,11.107482086318948,12002,37.857058823529414,102,acetal,1.41,-143.33,15,11
11,Decreasing,0.05588828557001305,6.115,12000,34.37367816091954,87,acetal,1.41,-143.33,15,6
