direction,motor_speed,voltage_std,sample_count,t_avg,angle_mean,minute_bin,material,grouped_speed
Decreasing,1.0,0.02722592563239483,12020,1765214238.5496142,32.90380952380953,12,acetal,1
Decreasing,6.0,0.02983673218941,12046,1765214178.3846395,35.23488372093023,11,acetal,6
Decreasing,11.0,0.026389157513417,12038,1765214118.1741977,36.629999999999995,10,acetal,11
Decreasing,16.0,0.023868342381432216,12040,1765214057.9795866,38.774040404040406,9,acetal,16
Decreasing,21.0,0.02209391975248847,12060,1765213997.7293656,39.872454545454545,8,acetal,21
Decreasing,26.0,0.021701685904654336,12042,1765213937.4737332,41.51952,7,acetal,26
Increasing,1.0,0.005467831916143915,12040,1765213576.2685006,32.61371428571429,1,acetal,1
Increasing,6.0,0.008926032486492475,12032,1765213636.448846,32.32829268292683,2,acetal,6
Increasing,11.0,0.01648576973262614,12046,1765213696.643527,34.63098901098901,3,acetal,11
Increasing,16.0,0.021251830306950208,12042,1765213756.863701,37.743979591836734,4,acetal,16
Increasing,21.0,0.023051840709248997,12036,1765213817.058301,39.971428571428575,5,acetal,21
Increasing,26.0,0.02259672716802932,12044,1765213877.2586756,41.67318584070796,6,acetal,26
Decreasing,1.0,0.02718200031935389,12034,1765215374.9301727,33.197500000000005,12,acetal,1
Decreasing,6.0,0.031542075361007685,12014,1765215314.8088288,34.517640449438204,11,acetal,6
Decreasing,11.0,0.02813174472757124,12038,1765215254.6788986,35.950106382978724,10,acetal,11
Decreasing,16.0,0.02520889323979247,12032,1765215194.5029137,37.47089108910891,9,acetal,16
Decreasing,21.0,0.02341716688406355,12034,1765215134.3384695,38.78771929824561,8,acetal,21
Decreasing,26.0,0.02264546340664174,12028,1765215074.1821048,40.4293893129771,7,acetal,26
Increasing,1.0,0.003920724885181724,12038,1765214713.0161266,32.6125,1,acetal,1
Increasing,6.0,0.008930365020900928,12028,1765214773.1818874,32.19036585365854,2,acetal,6
Increasing,11.0,0.01733340857313932,12020,1765214833.3016682,34.21809523809524,3,acetal,11
Increasing,16.0,0.02238394011735502,12054,1765214893.4868953,37.048469387755105,4,acetal,16
Increasing,21.0,0.02399987303943314,12066,1765214953.787044,39.15198113207547,5,acetal,21
Increasing,26.0,0.023449667171739755,12032,1765215014.0323665,40.72349056603773,6,acetal,26
Decreasing,1.0,0.028193342577408183,12022,1765216840.1414683,34.04157894736842,12,acetal,1
Decreasing,6.0,0.032380890543259155,12048,1765216779.9653997,34.85231707317073,11,acetal,6
Decreasing,11.0,0.029166369088707317,12018,1765216719.8006701,36.09021739130435,10,acetal,11
Decreasing,16.0,0.026060389095491285,12048,1765216659.6346097,37.95148514851485,9,acetal,16
Decreasing,21.0,0.024066671889406057,12058,1765216599.3698385,39.319611650485434,8,acetal,21
Decreasing,26.0,0.023622750194892603,12030,1765216539.1496677,40.71991228070175,7,acetal,26
Increasing,1.0,0.0032519138615461,12036,1765216178.052013,31.80525,1,acetal,1
Increasing,6.0,0.008843357490253834,12046,1765216238.2571218,31.75764705882353,2,acetal,6
Increasing,11.0,0.017251024386262585,12038,1765216298.4678485,34.096489361702126,3,acetal,11
Increasing,16.0,0.023137485374985927,12034,1765216358.648031,36.96971153846154,4,acetal,16
Increasing,21.0,0.025175665422432696,12036,1765216418.8233624,38.909035087719296,5,acetal,21
Increasing,26.0,0.024493354778349175,12032,1765216478.9943032,40.747321428571425,6,acetal,26
Decreasing,1.0,0.03067048733301296,12026,1765394829.278644,32.18714285714286,12,acrylic,1
Decreasing,6.0,0.03331214769451707,12040,1765394769.1135886,33.603465346534655,11,acrylic,6
Decreasing,11.0,0.03428980418839031,12026,1765394708.947748,36.57889830508475,10,acrylic,11
Decreasing,16.0,0.03365479770029126,12040,1765394648.782908,38.21116666666667,9,acrylic,16
Decreasing,21.0,0.030946118433900827,12016,1765394588.6427526,38.49263565891473,8,acrylic,21
Decreasing,26.0,0.02544377875585562,12040,1765394528.5027256,37.99007692307692,7,acrylic,26
Increasing,1.0,0.002708544179945262,12050,1765394167.2872398,29.586382978723403,1,acrylic,1
Increasing,6.0,0.003825190450372456,12036,1765394227.5013456,28.124693877551017,2,acrylic,6
Increasing,11.0,0.0070257369776626135,12028,1765394287.6620035,30.222800000000003,3,acrylic,11
Increasing,16.0,0.011119734674068396,12064,1765394347.8918686,32.15244094488189,4,acrylic,16
Increasing,21.0,0.015567894366247935,12028,1765394408.1225455,34.13886956521739,5,acrylic,21
Increasing,26.0,0.020002936590484504,12042,1765394468.2970486,36.49916666666666,6,acrylic,26
Decreasing,1.0,0.03375944840464077,12042,1765396381.819629,33.293392857142855,12,acrylic,1
Decreasing,6.0,0.03742877545985746,12030,1765396321.638925,36.36725663716814,11,acrylic,6
Decreasing,11.0,0.0387729893713137,12038,1765396261.4684348,39.99873015873016,10,acrylic,11
Decreasing,16.0,0.03831238369522778,12058,1765396201.2280602,42.40601398601399,9,acrylic,16
Decreasing,21.0,0.0356395465907359,12028,1765396141.0126855,42.30437956204379,8,acrylic,21
Decreasing,26.0,0.029888903200099556,12044,1765396080.8324559,40.55359375,7,acrylic,26
Increasing,1.0,0.002925140371089701,12044,1765395719.7296333,29.82575,1,acrylic,1
Increasing,6.0,0.0034932864772513525,12034,1765395779.9246364,28.0221978021978,2,acrylic,6
Increasing,11.0,0.006792703873329531,12020,1765395840.0605145,30.23549019607843,3,acrylic,11
Increasing,16.0,0.011535865792930354,12050,1765395900.2359018,32.25672268907563,4,acrylic,16
Increasing,21.0,0.016490072315928913,12026,1765395960.4269266,34.6648275862069,5,acrylic,21
Increasing,26.0,0.022769872834761805,12046,1765396020.6064963,37.29153846153846,6,acrylic,26
Decreasing,1.0,0.028339998291443954,12022,1765393519.8005786,30.108600000000003,12,acrylic,1
Decreasing,6.0,0.03161736998795724,12034,1765393459.660368,31.180434782608696,11,acrylic,6
Decreasing,11.0,0.03153238471952128,12062,1765393399.4209657,33.59482142857143,10,acrylic,11
Decreasing,16.0,0.030384207736060254,12026,1765393339.1994915,35.2675,9,acrylic,16
Decreasing,21.0,0.027864154226391474,12034,1765393279.049851,36.13076923076923,8,acrylic,21
Decreasing,26.0,0.02348217471162285,12020,1765393218.913246,36.365625,7,acrylic,26
Increasing,1.0,0.002894687942568693,12036,1765392858.1098297,27.992127659574464,1,acrylic,1
Increasing,6.0,0.004094081142810618,12028,1765392918.271005,27.94588888888889,2,acrylic,6
Increasing,11.0,0.007278247268888873,12024,1765392978.4006326,29.78957264957265,3,acrylic,11
