minute_bin,direction,motor_speed,voltage_std,sample_count,angle_mean,material,grouped_speed
1,Increasing,1.0,0.0037399529583163,12002,28.96033333333333,acetal,1
2,Increasing,1.0,0.004683399559131054,12002,28.9725,acetal,1
3,Increasing,1.0,0.005637993740051382,11996,27.126111111111115,acetal,1
4,Increasing,1.0,0.006040310490438546,12000,27.924722222222222,acetal,1
5,Increasing,1.0,0.0046156225926913905,12002,27.600625,acetal,1
6,Increasing,6.0,0.007803016957839297,11918,28.196315789473687,acetal,6
7,Increasing,6.0,0.008035614687954088,12002,28.374000000000002,acetal,6
8,Increasing,6.0,0.008715160320369487,11998,29.42142857142857,acetal,6
9,Increasing,6.0,0.010646320849500353,11998,28.422528735632188,acetal,6
10,Increasing,6.0,0.011423576468114188,12002,28.582674418604654,acetal,6
11,Increasing,11.0,0.011807859365079373,11826,30.554470588235297,acetal,11
12,Increasing,11.0,0.014346195248341577,11998,30.443493975903614,acetal,11
13,Increasing,11.0,0.015412158225716475,12002,30.309204545454545,acetal,11
14,Increasing,11.0,0.01775065962105811,11998,30.204175824175824,acetal,11
15,Increasing,11.0,0.01862779853924176,12000,29.902079207920792,acetal,11
16,Increasing,16.0,0.020232091691947177,11698,32.558571428571426,acetal,16
17,Increasing,16.0,0.021618210736068323,12000,32.47831578947368,acetal,16
18,Increasing,16.0,0.023449406545605605,12000,32.57329411764706,acetal,16
19,Increasing,16.0,0.0251142755115867,12000,32.26639534883721,acetal,16
20,Increasing,16.0,0.02632468892668006,11998,32.72326530612245,acetal,16
21,Increasing,21.0,0.026645000811534536,11608,35.41901098901099,acetal,21
22,Increasing,21.0,0.028339900810005425,12004,36.70632183908046,acetal,21
23,Increasing,21.0,0.029610084677232498,12000,36.55854166666666,acetal,21
24,Increasing,21.0,0.031276551754303175,12002,36.611505376344084,acetal,21
25,Increasing,21.0,0.03300959574800641,11998,37.307765957446804,acetal,21
26,Increasing,26.0,0.03368277937626843,11526,40.76541666666667,acetal,26
27,Increasing,26.0,0.03517386489366187,11998,40.6554716981132,acetal,26
28,Increasing,26.0,0.037159466434852344,11998,41.4777868852459,acetal,26
29,Increasing,26.0,0.03891186853244063,12002,42.63436363636363,acetal,26
30,Increasing,26.0,0.04030771131439085,11998,43.66474576271186,acetal,26
31,Decreasing,26.0,0.04350567896004967,11430,45.36263157894737,acetal,26
32,Decreasing,26.0,0.04454095807835765,11998,47.02347107438017,acetal,26
33,Decreasing,26.0,0.04783804773822109,12002,49.438655462184876,acetal,26
34,Decreasing,26.0,0.05239689224984575,12002,49.1575572519084,acetal,26
35,Decreasing,26.0,0.05775164649486175,11998,49.57984962406015,acetal,26
36,Decreasing,21.0,0.058734409282842744,11342,47.50349206349206,acetal,21
37,Decreasing,21.0,0.05813418516461161,11996,47.59271428571429,acetal,21
